observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,rebalance_count,average_one_way_turnover,average_one_way_active_shift_from_base,latest_effective_number_of_holdings,primary_base_fund,primary_fusion_rule,base_annualized_return,base_annualized_volatility,base_sharpe_ratio,base_max_drawdown,base_total_return,base_average_one_way_turnover,delta_annualized_return,delta_annualized_volatility,delta_sharpe_ratio,delta_max_drawdown,delta_total_return,delta_average_one_way_turnover,method_label
503,0.21945709673618619,0.12862059701172915,0.10450812590031289,0.24149863226838153,0.5325934801518498,-0.2787245867171566,1.2194570967361862,combined_equal_weight,combined_equal_weight,Combined,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.042860601466454686,0.0,60.000000000000014,False,False,0.12862059701172915,0.24149863226838153,0.5325934801518498,-0.2787245867171566,0.21945709673618619,0.042860601466454686,0.0,0.0,0.0,0.0,0.0,0.0,Equal Weight
503,0.21036874431773245,0.1246240418202417,0.10037641488495885,0.24046111119085312,0.5182710884228097,-0.27349779224938353,1.2103687443177324,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.07187445277228247,0.04153320358045867,59.52803908209595,False,True,0.12862059701172915,0.24149863226838153,0.5325934801518498,-0.2787245867171566,0.21945709673618619,0.042860601466454686,-0.00399655519148745,-0.0010375210775284138,-0.014322391729040151,0.005226794467773077,-0.009088352418453738,0.02901385130582778,Equal Weight
503,0.21171304218663378,0.12532534597879508,0.10098852751592591,0.24106782004721355,0.5198758837004868,-0.2756036141057995,1.2117130421866338,combined_equal_weight,combined_equal_weight_naive_sentiment,Combined,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.059322151484158245,0.02952975013412813,59.691243474252985,False,False,0.12862059701172915,0.24149863226838153,0.5325934801518498,-0.2787245867171566,0.21945709673618619,0.042860601466454686,-0.003295251032934071,-0.00043081222116797546,-0.012717596451363056,0.0031209726113571312,-0.007744054549552404,0.01646155001770356,Equal Weight
503,0.25806232581888455,0.15580175850685213,0.1218897652049411,0.2851342434563513,0.5464154589720559,-0.33512178543727034,1.2580623258188846,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.04910407408040309,0.0,54.75806216157826,True,False,0.15580175850685213,0.2851342434563513,0.5464154589720559,-0.33512178543727034,0.25806232581888455,0.04910407408040309,0.0,0.0,0.0,0.0,0.0,0.0,Hierarchical Sleeve Risk Parity
503,0.2529475334015334,0.15355963275399478,0.119602324679835,0.2844256617534495,0.5398937346486895,-0.3336613373478464,1.2529475334015334,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity_coverage_rank_sentiment,Combined,hierarchical_risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.0745462500121937,0.03770703021375437,53.59815141980624,True,True,0.15580175850685213,0.2851342434563513,0.5464154589720559,-0.33512178543727034,0.25806232581888455,0.04910407408040309,-0.0022421257528573435,-0.0007085817029017782,-0.006521724323366396,0.0014604480894239158,-0.005114792417351133,0.025442175931790607,Hierarchical Sleeve Risk Parity
503,0.2543286729738965,0.15422592302702243,0.12022045726156505,0.2848261058467218,0.5414739725789692,-0.33485640570807584,1.2543286729738965,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity_naive_sentiment,Combined,hierarchical_risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.06385927847461816,0.02682070244586773,54.10964105999397,True,False,0.15580175850685213,0.2851342434563513,0.5464154589720559,-0.33512178543727034,0.25806232581888455,0.04910407408040309,-0.0015758354798297014,-0.00030813760962949965,-0.004941486393086669,0.0002653797291944926,-0.0037336528449880557,0.014755204394215064,Hierarchical Sleeve Risk Parity
503,-0.029168147928566368,0.06810323783801565,-0.014720994114774677,0.40780141585086793,0.16700098428035096,-0.5210003618413179,0.9708318520714336,combined_maximum_sharpe,combined_maximum_sharpe,Combined,maximum_sharpe,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.18564207144726289,0.0,4.202033863140864,False,False,0.06810323783801565,0.40780141585086793,0.16700098428035096,-0.5210003618413179,-0.029168147928566368,0.18564207144726289,0.0,0.0,0.0,0.0,0.0,0.0,Maximum Sharpe
503,-0.007176805355653015,0.07942910490840698,-0.003601998162530484,0.4080481941441375,0.19465618534351292,-0.5167496470544604,0.992823194644347,combined_maximum_sharpe,combined_maximum_sharpe_coverage_rank_sentiment,Combined,maximum_sharpe,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.18821872319700428,0.028589346083040052,3.8092274198981264,False,True,0.06810323783801565,0.40780141585086793,0.16700098428035096,-0.5210003618413179,-0.029168147928566368,0.18564207144726289,0.011325867070391321,0.00024677829326957834,0.027655201063161966,0.004250714786857568,0.021991342572913353,0.002576651749741393,Maximum Sharpe
503,-0.009503701027264166,0.07853164990271692,-0.004772641462856497,0.4087269366309897,0.19213720179548022,-0.5169718995116073,0.9904962989727358,combined_maximum_sharpe,combined_maximum_sharpe_naive_sentiment,Combined,maximum_sharpe,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.18842116510131393,0.02133910564110599,3.9770053085475916,False,False,0.06810323783801565,0.40780141585086793,0.16700098428035096,-0.5210003618413179,-0.029168147928566368,0.18564207144726289,0.01042841206470127,0.000925520780121758,0.02513621751512926,0.004028462329710658,0.0196644469013022,0.002779093654051046,Maximum Sharpe
503,0.1622836597352164,0.0845249456109316,0.07825377847659554,0.1355170391194722,0.6237219036081078,-0.17995001821664847,1.1622836597352164,combined_minimum_variance,combined_minimum_variance,Combined,minimum_variance,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.03520740456276555,0.0,8.716395868420664,False,False,0.0845249456109316,0.1355170391194722,0.6237219036081078,-0.17995001821664847,0.1622836597352164,0.03520740456276555,0.0,0.0,0.0,0.0,0.0,0.0,Minimum Variance
