model_name,observations,accuracy,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1,balanced_accuracy,macro_f1
Unmodified NLTK VADER,60,0.5666666666666667,0.45,0.75,0.5625000000000001,0.75,0.5,0.6,0.5,0.5555555555555556,0.5263157894736842,0.6018518518518519,0.562938596491228
NLTK VADER + conservative finance extension,60,0.6833333333333333,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.9375,0.5,0.6521739130434783,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.7407407407407408,0.6820377689942908
