observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,fund_id,universe,method,method_label,cost_bps,total_one_way_turnover,charged_rebalance_count,initial_formation_cost_included,cost_model
753,0.5236892003153522,0.16433693011443073,0.1513526195518089,0.2160038524438884,0.7608055516376531,-0.2787245867171566,1.5236892003153522,combined_equal_weight,Combined,equal_weight,Equal Weight,0.0,1.3500479890860284,35,False,one_way_turnover_times_cost_bps
753,0.5216334911236229,0.1638828627068163,0.15083253466783564,0.21599448361296975,0.7587363342133784,-0.2790304824945198,1.521633491123623,combined_equal_weight,Combined,equal_weight,Equal Weight,10.0,1.3500479890860284,35,False,one_way_turnover_times_cost_bps
753,0.5134374847116985,0.16206659307635876,0.14875432310003234,0.21595786580028525,0.750454689278304,-0.28025290683095216,1.5134374847116985,combined_equal_weight,Combined,equal_weight,Equal Weight,50.0,1.3500479890860284,35,False,one_way_turnover_times_cost_bps
753,0.5707219119279183,0.18257706092199455,0.1631262524874335,0.25036106080364945,0.7292550220706413,-0.33512178543727034,1.5707219119279183,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,Hierarchical Sleeve Risk Parity,0.0,1.5041657638072583,35,False,one_way_turnover_times_cost_bps
753,0.5683610017079141,0.1820709646695832,0.16254088327313476,0.2503513502825976,0.7272617641728746,-0.33561773752797486,1.5683610017079141,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,Hierarchical Sleeve Risk Parity,10.0,1.5041657638072583,35,False,one_way_turnover_times_cost_bps
753,0.558951598793989,0.18004657965993814,0.16020205331940307,0.2503135052339801,0.7192843210422862,-0.33759808429789284,1.558951598793989,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,Hierarchical Sleeve Risk Parity,50.0,1.5041657638072583,35,False,one_way_turnover_times_cost_bps
753,0.2631257682376038,0.13895293106555612,0.08131008843204857,0.3489607129181628,0.39819075879221666,-0.5210003618413179,1.2631257682376038,combined_maximum_sharpe,Combined,maximum_sharpe,Maximum Sharpe,0.0,5.398811415062602,35,False,one_way_turnover_times_cost_bps
753,0.25632414574102524,0.13713653762704534,0.07935799161871127,0.34893495753547266,0.3930146139430701,-0.52190940996383,1.2563241457410252,combined_maximum_sharpe,Combined,maximum_sharpe,Maximum Sharpe,10.0,5.398811415062602,35,False,one_way_turnover_times_cost_bps
753,0.22946979889005226,0.12987096387300257,0.07158124090933304,0.3488411099087791,0.37229260022410615,-0.5261497198788666,1.2294697988900523,combined_maximum_sharpe,Combined,maximum_sharpe,Maximum Sharpe,50.0,5.398811415062602,35,False,one_way_turnover_times_cost_bps
753,0.2214165037352771,0.0750616447584189,0.06922708517452691,0.1274552183582494,0.5889256299215355,-0.17995001821664847,1.221416503735277,combined_minimum_variance,Combined,minimum_variance,Minimum Variance,0.0,1.0723044110294262,35,False,one_way_turnover_times_cost_bps
753,0.22010745148100486,0.07470206234258388,0.06884344540423548,0.1274502334922154,0.5861273086419778,-0.18014487397500356,1.2201074514810049,combined_minimum_variance,Combined,minimum_variance,Minimum Variance,10.0,1.0723044110294262,35,False,one_way_turnover_times_cost_bps
753,0.21488478090449736,0.073263732679244,0.06731012229924827,0.12743128646583976,0.5749273566259072,-0.18092392873236052,1.2148847809044974,combined_minimum_variance,Combined,minimum_variance,Minimum Variance,50.0,1.0723044110294262,35,False,one_way_turnover_times_cost_bps
753,0.43277840057665595,0.13558671818632725,0.12789087823871492,0.17439198150177576,0.7774825253932138,-0.22384241904565572,1.432778400576656,combined_risk_parity,Combined,risk_parity,Risk Parity,0.0,1.1335989008553475,35,False,one_way_turnover_times_cost_bps
753,0.43115509629933113,0.1352056332733795,0.12746306194925316,0.17438311660985242,0.7753367178078097,-0.2240045447705511,1.4311550962993311,combined_risk_parity,Combined,risk_parity,Risk Parity,10.0,1.1335989008553475,35,False,one_way_turnover_times_cost_bps
753,0.4246796824689234,0.1336812936215876,0.1257532688259051,0.17434839384968745,0.7667480650084993,-0.2246527683279611,1.4246796824689234,combined_risk_parity,Combined,risk_parity,Risk Parity,50.0,1.1335989008553475,35,False,one_way_turnover_times_cost_bps
