observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,cost_bps,total_one_way_turnover,average_one_way_turnover,charged_rebalance_count,initial_formation_cost_included,cost_model,base_total_return,base_sharpe_ratio,base_max_drawdown,delta_total_return,delta_sharpe_ratio,delta_max_drawdown,method_label
503,0.21945709673618619,0.12862059701172915,0.10450812590031289,0.24149863226838153,0.5325934801518498,-0.2787245867171566,1.2194570967361862,combined_equal_weight,combined_equal_weight,Combined,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,0.0,0.9857938337284577,0.042860601466454686,23,False,one_way_turnover_times_cost_bps,0.21945709673618619,0.5325934801518498,-0.2787245867171566,0.0,0.0,0.0,Equal Weight
503,0.21036874431773245,0.1246240418202417,0.10037641488495885,0.24046111119085312,0.5182710884228097,-0.27349779224938353,1.2103687443177324,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.6531124137624966,0.07187445277228247,23,False,one_way_turnover_times_cost_bps,0.21945709673618619,0.5325934801518498,-0.2787245867171566,-0.009088352418453738,-0.014322391729040151,0.005226794467773077,Equal Weight
503,0.21171304218663378,0.12532534597879508,0.10098852751592591,0.24106782004721355,0.5198758837004868,-0.2756036141057995,1.2117130421866338,combined_equal_weight,combined_equal_weight_naive_sentiment,Combined,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.3644094841356396,0.059322151484158245,23,False,one_way_turnover_times_cost_bps,0.21945709673618619,0.5325934801518498,-0.2787245867171566,-0.007744054549552404,-0.012717596451363056,0.0031209726113571312,Equal Weight
503,0.21825552791481928,0.12812378594017423,0.10396275695566959,0.2414871719299431,0.5305614576386017,-0.2790304824945198,1.2182555279148193,combined_equal_weight,combined_equal_weight,Combined,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,10.0,0.9857938337284577,0.042860601466454686,23,False,one_way_turnover_times_cost_bps,0.21825552791481928,0.5305614576386017,-0.2790304824945198,0.0,0.0,0.0,Equal Weight
503,0.20836944591057227,0.12379161670966629,0.09946542648681711,0.24044479861411389,0.51484422796077,-0.27403205926832175,1.2083694459105723,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.6531124137624966,0.07187445277228247,23,False,one_way_turnover_times_cost_bps,0.21825552791481928,0.5305614576386017,-0.2790304824945198,-0.00988608200424701,-0.015717229677831734,0.004998423226198034,Equal Weight
503,0.21006084505554723,0.1246381410689235,0.1002361682840851,0.24105370971557608,0.5170554778683408,-0.2760389533492701,1.2100608450555472,combined_equal_weight,combined_equal_weight_naive_sentiment,Combined,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.3644094841356396,0.059322151484158245,23,False,one_way_turnover_times_cost_bps,0.21825552791481928,0.5305614576386017,-0.2790304824945198,-0.008194682859272051,-0.013505979770260912,0.002991529145249694,Equal Weight
503,0.21346052513811653,0.12613654165395358,0.10178372011541414,0.2414422484094494,0.5224294525291413,-0.28025290683095216,1.2134605251381165,combined_equal_weight,combined_equal_weight,Combined,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,50.0,0.9857938337284577,0.042860601466454686,23,False,one_way_turnover_times_cost_bps,0.21346052513811653,0.5224294525291413,-0.28025290683095216,0.0,0.0,0.0,Equal Weight
503,0.20040371724195105,0.12046191626736436,0.09582832024557963,0.24038206542500684,0.5011268875420551,-0.276165615830553,1.200403717241951,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.6531124137624966,0.07187445277228247,23,False,one_way_turnover_times_cost_bps,0.21346052513811653,0.5224294525291413,-0.28025290683095216,-0.013056807896165479,-0.02130256498708616,0.004087291000399174,Equal Weight
503,0.20347352486698944,0.12188932142943638,0.09723139905391398,0.2409989808916572,0.505766957928476,-0.27777797282560956,1.2034735248669894,combined_equal_weight,combined_equal_weight_naive_sentiment,Combined,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.3644094841356396,0.059322151484158245,23,False,one_way_turnover_times_cost_bps,0.21346052513811653,0.5224294525291413,-0.28025290683095216,-0.009987000271127089,-0.016662494600665267,0.0024749340053425994,Equal Weight
503,0.25806232581888455,0.15580175850685213,0.1218897652049411,0.2851342434563513,0.5464154589720559,-0.33512178543727034,1.2580623258188846,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,0.0,1.1293937038492712,0.04910407408040309,23,False,one_way_turnover_times_cost_bps,0.25806232581888455,0.5464154589720559,-0.33512178543727034,0.0,0.0,0.0,Hierarchical Sleeve Risk Parity
